CpG,cg09358973,cg23964682,cg13030331,cg23888450,cg04885832,cg12134633,cg21053323,Group
LM_1,0.04,0.02,0.17,0.37,0.03,0.17,0.07,1.00
LM_2,0.05,0.03,0.27,0.31,0.03,0.27,0.08,1.00
LM_3,0.11,0.02,0.24,0.23,0.04,0.26,0.18,1.00
LM_4,0.02,0.03,0.18,0.35,0.06,0.40,0.06,1.00
LM_5,0.07,0.03,0.28,0.34,0.04,0.31,0.06,1.00
LM_6,0.28,0.07,0.26,0.22,0.03,0.20,0.08,1.00
LM_7,0.08,0.03,0.21,0.45,0.04,0.26,0.07,1.00
LM_8,0.20,0.04,0.22,0.32,0.05,0.28,0.05,1.00
LM_9,0.06,0.03,0.19,0.36,0.03,0.39,0.11,1.00
LM_10,0.37,0.53,0.60,0.92,0.08,0.66,0.34,1.00
IM_1,0.67,0.55,0.63,0.27,0.11,0.90,0.44,2.00
IM_2,0.77,0.27,0.45,0.87,0.06,0.88,0.31,2.00
IM_3,0.68,0.23,0.45,0.55,0.28,0.92,0.51,2.00
IM_4,0.12,0.47,0.45,0.83,0.23,0.87,0.67,2.00
IM_5,0.85,0.29,0.55,0.55,0.25,0.74,0.46,2.00
IM_6,0.68,0.40,0.54,0.70,0.05,0.89,0.45,2.00
IM_7,0.51,0.33,0.45,0.71,0.23,0.85,0.63,2.00
IM_8,0.56,0.47,0.54,0.55,0.44,0.73,0.45,2.00
IM_9,0.74,0.55,0.54,0.55,0.18,0.84,0.37,2.00
IM_10,0.36,0.48,0.54,0.82,0.14,0.95,0.54,2.00
HM_1,0.86,0.87,0.86,0.88,0.89,0.95,0.83,3.00
HM_2,0.93,0.91,0.94,0.93,0.66,0.96,0.82,3.00
HM_3,0.87,0.85,0.87,0.89,0.91,0.95,0.82,3.00
HM_4,0.93,0.71,0.79,0.95,0.94,0.97,0.92,3.00
HM_5,0.90,0.87,0.89,0.92,0.85,0.97,0.85,3.00
HM_6,0.89,0.89,0.92,0.95,0.94,0.97,0.82,3.00
HM_7,0.88,0.92,0.90,0.93,0.91,0.95,0.89,3.00
HM_8,0.91,0.92,0.94,0.93,0.96,0.98,0.88,3.00
HM_9,0.96,0.95,0.98,0.98,0.97,0.97,0.93,3.00
HM_10,0.94,0.96,0.96,0.98,0.97,0.98,0.96,3.00
